taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1847761	Ephysteris subdiminutella (Stainton, 1867)	4528106	Ochrodia subdiminutella (Stainton, 1867)	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gelechiidae	3553	Ochrodia	4404497	Ochrodia subdiminutella	4528106	NE
1852876	Blastobasis arguta Meyrick, 1918	1852876	Blastobasis arguta Meyrick, 1918	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Blastobasidae	4865	Blastobasis	1852745	Blastobasis arguta	1852876	NE
1863575	Temnora pylades Rothschild & Jordan, 1903	1863575	Temnora pylades Rothschild & Jordan, 1903	27	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Sphingidae	8868	Temnora	1863486	Temnora pylades	1863575	NE
1867751	Heniocha apollonia Cramer, 1780	1867751	Heniocha apollonia Cramer, 1780	85	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Saturniidae	8864	Heniocha	1867739	Heniocha apollonia	1867751	NE
1885155	Pilocrocis glaucitalis Hampson, 1912	1885155	Pilocrocis glaucitalis Hampson, 1912	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Pilocrocis	1885027	Pilocrocis glaucitalis	1885155	NE
1944436	Moltena Evans, 1937	1944436	Moltena Evans, 1937	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Hesperiidae	6953	Moltena	1944436			NE
1955283	Scardamia maculata Warren, 1897	6118557	Oaracta maculata (Warren, 1897)	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Oaracta	4689599	Oaracta maculata	6118557	NE
1961065	Hebdomophruda eupitheciata (Warren, 1914)	1961065	Hebdomophruda eupitheciata (Warren, 1914)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Hebdomophruda	1961058	Hebdomophruda eupitheciata	1961065	NE
1991045	Asthenotricha pycnoconia Janse, 1933	1991045	Asthenotricha pycnoconia Janse, 1933	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Asthenotricha	1991032	Asthenotricha pycnoconia	1991045	NE
5128958	Charaxes andranodorus Mabille, 1884	5128958	Charaxes andranodorus Mabille, 1884	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Charaxes	7236053	Charaxes andranodorus	5128958	NE
5772222	Leucania loreyi (Duponchel, 1827)	5772222	Leucania loreyi (Duponchel, 1827)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Leucania	1778695	Leucania loreyi	5772222	NE
6116359	Mentaxya decipiens (Felder & Rogenhofer, 1874)	6116358	Mentaxya rimosa (Guenée, 1852)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Mentaxya	4687385	Mentaxya rimosa	6116358	NE
6116762	Ophiusa amplior Walker, 1858	6116761	Ophiusa finifascia Walker, 1858	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Ophiusa	1788535	Ophiusa finifascia	6116761	NE
